timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769049575215,163,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-2,text,true,,499,178,5,5,http://4.156.9.169/api/customer/owners/8,163,0,0
1769049574735,1148,GET /api/customer/owners,200,OK,Petclinic Load Test 1-3,text,true,,8228,176,5,5,http://4.156.9.169/api/customer/owners,1148,0,0
1769049574923,1749,GET /api/customer/owners,200,OK,Petclinic Load Test 1-4,text,true,,8228,176,5,5,http://4.156.9.169/api/customer/owners,1744,0,0
1769049577197,231,GET /api/gateway/owners/{ownerId},200,OK,Petclinic Load Test 1-5,text,true,,460,177,5,5,http://4.156.9.169/api/gateway/owners/5,231,0,0
1769049577182,1130,GET /api/customer/owners,200,OK,Petclinic Load Test 1-1,text,true,,8228,176,5,5,http://4.156.9.169/api/customer/owners,1124,0,0
1769049578188,562,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-2,text,true,,231,275,5,5,http://4.156.9.169/api/customer/owners/8/pets,562,0,118
1769049578652,197,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-3,text,true,,501,178,5,5,http://4.156.9.169/api/customer/owners/5,197,0,0
1769049578884,174,POST /api/customer/owners,201,Created,Petclinic Load Test 1-5,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,174,0,0
1769049579595,178,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-4,text,true,,664,178,5,5,http://4.156.9.169/api/customer/owners/1,177,0,0
1769049580582,317,GET /api/vet/vets,200,OK,Petclinic Load Test 1-3,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,317,0,0
1769049580892,214,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-2,text,true,,344,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/7/visits,214,0,0
1769049580892,214,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-1,text,true,,493,178,5,5,http://4.156.9.169/api/customer/owners/6,214,0,0
